tid,task,dtnum
301_002_360000,三级甲等_中医医院_江西省,5
301_002_420000,三级甲等_中医医院_湖北省,18
301_002_150000,三级甲等_中医医院_内蒙古自治区,1
301_002_230000,三级甲等_中医医院_黑龙江省,9
301_002_410000,三级甲等_中医医院_河南省,14
301_002_450000,三级甲等_中医医院_广西壮族自治区,10
301_002_340000,三级甲等_中医医院_安徽省,7
301_002_500000,三级甲等_中医医院_重庆市,5
301_002_460000,三级甲等_中医医院_海南省,3
301_002_510000,三级甲等_中医医院_四川省,15
301_002_530000,三级甲等_中医医院_云南省,10
301_002_540000,三级甲等_中医医院_西藏自治区,0
301_002_610000,三级甲等_中医医院_陕西省,8
301_002_430000,三级甲等_中医医院_湖南省,11
301_002_440000,三级甲等_中医医院_广东省,24
301_002_630000,三级甲等_中医医院_青海省,1
301_002_520000,三级甲等_中医医院_贵州省,2
301_002_650000,三级甲等_中医医院_新疆维吾尔自治区,2
301_003_120000,三级甲等_中西医结合医院_天津市,1
301_003_140000,三级甲等_中西医结合医院_山西省,1
301_003_130000,三级甲等_中西医结合医院_河北省,1
301_003_220000,三级甲等_中西医结合医院_吉林省,0
301_003_210000,三级甲等_中西医结合医院_辽宁省,1
301_003_230000,三级甲等_中西医结合医院_黑龙江省,0
301_003_150000,三级甲等_中西医结合医院_内蒙古自治区,0
301_002_640000,三级甲等_中医医院_宁夏回族自治区,2
301_003_110000,三级甲等_中西医结合医院_北京市,3
301_003_350000,三级甲等_中西医结合医院_福建省,1
301_002_620000,三级甲等_中医医院_甘肃省,4
301_003_310000,三级甲等_中西医结合医院_上海市,5
301_003_330000,三级甲等_中西医结合医院_浙江省,1
301_003_360000,三级甲等_中西医结合医院_江西省,0
301_003_420000,三级甲等_中西医结合医院_湖北省,2
301_003_410000,三级甲等_中西医结合医院_河南省,0
301_003_430000,三级甲等_中西医结合医院_湖南省,1
301_003_450000,三级甲等_中西医结合医院_广西壮族自治区,0
301_003_460000,三级甲等_中西医结合医院_海南省,0
301_003_440000,三级甲等_中西医结合医院_广东省,2
301_003_320000,三级甲等_中西医结合医院_江苏省,2
301_003_500000,三级甲等_中西医结合医院_重庆市,0
301_003_520000,三级甲等_中西医结合医院_贵州省,1
301_003_370000,三级甲等_中西医结合医院_山东省,2
301_003_620000,三级甲等_中西医结合医院_甘肃省,1
301_003_340000,三级甲等_中西医结合医院_安徽省,1
301_003_540000,三级甲等_中西医结合医院_西藏自治区,0
301_004_110000,三级甲等_专科医院_北京市,17
301_003_630000,三级甲等_中西医结合医院_青海省,0
301_003_510000,三级甲等_中西医结合医院_四川省,2
301_003_640000,三级甲等_中西医结合医院_宁夏回族自治区,0
301_004_120000,三级甲等_专科医院_天津市,14
301_003_610000,三级甲等_中西医结合医院_陕西省,1
301_003_530000,三级甲等_中西医结合医院_云南省,0
301_004_220000,三级甲等_专科医院_吉林省,6
301_004_140000,三级甲等_专科医院_山西省,8
301_003_650000,三级甲等_中西医结合医院_新疆维吾尔自治区,0
301_004_210000,三级甲等_专科医院_辽宁省,16
301_004_150000,三级甲等_专科医院_内蒙古自治区,8
301_004_230000,三级甲等_专科医院_黑龙江省,23
301_004_310000,三级甲等_专科医院_上海市,15
301_004_330000,三级甲等_专科医院_浙江省,19
301_004_320000,三级甲等_专科医院_江苏省,14
301_004_350000,三级甲等_专科医院_福建省,9
301_004_360000,三级甲等_专科医院_江西省,13
301_004_340000,三级甲等_专科医院_安徽省,3
301_004_130000,三级甲等_专科医院_河北省,6
301_004_430000,三级甲等_专科医院_湖南省,3
301_004_440000,三级甲等_专科医院_广东省,21
301_004_460000,三级甲等_专科医院_海南省,0
301_004_370000,三级甲等_专科医院_山东省,24
301_004_450000,三级甲等_专科医院_广西壮族自治区,9
301_004_410000,三级甲等_专科医院_河南省,13
301_004_500000,三级甲等_专科医院_重庆市,4
301_004_520000,三级甲等_专科医院_贵州省,4
301_004_510000,三级甲等_专科医院_四川省,18
301_004_420000,三级甲等_专科医院_湖北省,8
301_004_620000,三级甲等_专科医院_甘肃省,3
301_004_540000,三级甲等_专科医院_西藏自治区,0
301_004_610000,三级甲等_专科医院_陕西省,7
301_005_120000,三级甲等_民族医院_天津市,0
301_005_130000,三级甲等_民族医院_河北省,0
301_004_640000,三级甲等_专科医院_宁夏回族自治区,1
301_005_140000,三级甲等_民族医院_山西省,0
301_004_650000,三级甲等_专科医院_新疆维吾尔自治区,2
301_005_150000,三级甲等_民族医院_内蒙古自治区,5
301_004_530000,三级甲等_专科医院_云南省,5
301_005_230000,三级甲等_民族医院_黑龙江省,0
301_005_220000,三级甲等_民族医院_吉林省,0
301_005_210000,三级甲等_民族医院_辽宁省,0
301_005_340000,三级甲等_民族医院_安徽省,0
301_005_310000,三级甲等_民族医院_上海市,0
301_005_350000,三级甲等_民族医院_福建省,0
301_005_320000,三级甲等_民族医院_江苏省,0
301_004_630000,三级甲等_专科医院_青海省,2
301_005_110000,三级甲等_民族医院_北京市,0
301_005_360000,三级甲等_民族医院_江西省,0
301_005_410000,三级甲等_民族医院_河南省,0
301_005_420000,三级甲等_民族医院_湖北省,0
301_005_430000,三级甲等_民族医院_湖南省,0
301_005_440000,三级甲等_民族医院_广东省,0
301_005_330000,三级甲等_民族医院_浙江省,0
301_005_450000,三级甲等_民族医院_广西壮族自治区,0
301_005_460000,三级甲等_民族医院_海南省,0
301_005_510000,三级甲等_民族医院_四川省,0
301_005_520000,三级甲等_民族医院_贵州省,0
301_005_370000,三级甲等_民族医院_山东省,0
301_005_620000,三级甲等_民族医院_甘肃省,0
301_005_530000,三级甲等_民族医院_云南省,0
301_005_610000,三级甲等_民族医院_陕西省,0
301_005_650000,三级甲等_民族医院_新疆维吾尔自治区,0
301_005_630000,三级甲等_民族医院_青海省,1
301_005_640000,三级甲等_民族医院_宁夏回族自治区,0
301_005_500000,三级甲等_民族医院_重庆市,0
301_006_110000,三级甲等_妇幼保健院_北京市,0
301_006_130000,三级甲等_妇幼保健院_河北省,3
301_005_540000,三级甲等_民族医院_西藏自治区,0
301_006_150000,三级甲等_妇幼保健院_内蒙古自治区,1
301_006_140000,三级甲等_妇幼保健院_山西省,5
301_006_210000,三级甲等_妇幼保健院_辽宁省,2
301_006_220000,三级甲等_妇幼保健院_吉林省,1
301_006_310000,三级甲等_妇幼保健院_上海市,2
301_006_350000,三级甲等_妇幼保健院_福建省,4
301_006_120000,三级甲等_妇幼保健院_天津市,0
301_006_340000,三级甲等_妇幼保健院_安徽省,3
301_006_330000,三级甲等_妇幼保健院_浙江省,5
301_006_230000,三级甲等_妇幼保健院_黑龙江省,3
301_006_370000,三级甲等_妇幼保健院_山东省,8
301_006_320000,三级甲等_妇幼保健院_江苏省,8
301_006_410000,三级甲等_妇幼保健院_河南省,2
301_006_360000,三级甲等_妇幼保健院_江西省,7
301_006_420000,三级甲等_妇幼保健院_湖北省,2
301_006_460000,三级甲等_妇幼保健院_海南省,1
301_006_450000,三级甲等_妇幼保健院_广西壮族自治区,6
301_006_510000,三级甲等_妇幼保健院_四川省,5
301_006_520000,三级甲等_妇幼保健院_贵州省,1
301_006_430000,三级甲等_妇幼保健院_湖南省,5
301_006_440000,三级甲等_妇幼保健院_广东省,7
301_006_530000,三级甲等_妇幼保健院_云南省,2
301_006_540000,三级甲等_妇幼保健院_西藏自治区,0
301_006_620000,三级甲等_妇幼保健院_甘肃省,0
301_006_630000,三级甲等_妇幼保健院_青海省,1
301_007_110000,三级甲等_专科疾病防治院（所、站）_北京市,0
301_007_120000,三级甲等_专科疾病防治院（所、站）_天津市,0
301_007_150000,三级甲等_专科疾病防治院（所、站）_内蒙古自治区,0
301_007_130000,三级甲等_专科疾病防治院（所、站）_河北省,0
301_007_140000,三级甲等_专科疾病防治院（所、站）_山西省,0
301_006_500000,三级甲等_妇幼保健院_重庆市,1
301_007_220000,三级甲等_专科疾病防治院（所、站）_吉林省,0
301_007_210000,三级甲等_专科疾病防治院（所、站）_辽宁省,0
301_006_650000,三级甲等_妇幼保健院_新疆维吾尔自治区,0
301_006_610000,三级甲等_妇幼保健院_陕西省,3
301_007_320000,三级甲等_专科疾病防治院（所、站）_江苏省,0
301_007_310000,三级甲等_专科疾病防治院（所、站）_上海市,0
301_007_330000,三级甲等_专科疾病防治院（所、站）_浙江省,0
301_006_640000,三级甲等_妇幼保健院_宁夏回族自治区,1
301_007_370000,三级甲等_专科疾病防治院（所、站）_山东省,0
301_007_420000,三级甲等_专科疾病防治院（所、站）_湖北省,0
301_007_410000,三级甲等_专科疾病防治院（所、站）_河南省,0
301_007_350000,三级甲等_专科疾病防治院（所、站）_福建省,0
301_007_230000,三级甲等_专科疾病防治院（所、站）_黑龙江省,0
301_007_430000,三级甲等_专科疾病防治院（所、站）_湖南省,0
301_007_450000,三级甲等_专科疾病防治院（所、站）_广西壮族自治区,0
301_007_460000,三级甲等_专科疾病防治院（所、站）_海南省,0
301_007_340000,三级甲等_专科疾病防治院（所、站）_安徽省,1
301_007_360000,三级甲等_专科疾病防治院（所、站）_江西省,0
301_007_500000,三级甲等_专科疾病防治院（所、站）_重庆市,0
301_007_510000,三级甲等_专科疾病防治院（所、站）_四川省,0
301_007_520000,三级甲等_专科疾病防治院（所、站）_贵州省,0
301_007_540000,三级甲等_专科疾病防治院（所、站）_西藏自治区,0
301_007_620000,三级甲等_专科疾病防治院（所、站）_甘肃省,0
301_007_530000,三级甲等_专科疾病防治院（所、站）_云南省,0
301_007_440000,三级甲等_专科疾病防治院（所、站）_广东省,0
301_007_640000,三级甲等_专科疾病防治院（所、站）_宁夏回族自治区,0
301_007_630000,三级甲等_专科疾病防治院（所、站）_青海省,0
301_007_610000,三级甲等_专科疾病防治院（所、站）_陕西省,0
301_008_130000,三级甲等_护理院_河北省,0
301_008_140000,三级甲等_护理院_山西省,0
301_008_120000,三级甲等_护理院_天津市,0
301_008_220000,三级甲等_护理院_吉林省,0
301_008_210000,三级甲等_护理院_辽宁省,0
301_007_650000,三级甲等_专科疾病防治院（所、站）_新疆维吾尔自治区,0
301_008_230000,三级甲等_护理院_黑龙江省,0
301_008_110000,三级甲等_护理院_北京市,0
301_008_330000,三级甲等_护理院_浙江省,0
301_008_340000,三级甲等_护理院_安徽省,0
301_008_320000,三级甲等_护理院_江苏省,0
301_008_150000,三级甲等_护理院_内蒙古自治区,0
301_008_370000,三级甲等_护理院_山东省,0
301_008_420000,三级甲等_护理院_湖北省,0
301_008_310000,三级甲等_护理院_上海市,0
301_008_410000,三级甲等_护理院_河南省,0
301_008_440000,三级甲等_护理院_广东省,0
301_008_430000,三级甲等_护理院_湖南省,0
301_008_360000,三级甲等_护理院_江西省,0
301_008_510000,三级甲等_护理院_四川省,0
301_008_520000,三级甲等_护理院_贵州省,0
301_008_460000,三级甲等_护理院_海南省,0
301_008_500000,三级甲等_护理院_重庆市,0
301_008_540000,三级甲等_护理院_西藏自治区,0
301_008_350000,三级甲等_护理院_福建省,0
301_008_610000,三级甲等_护理院_陕西省,0
301_008_450000,三级甲等_护理院_广西壮族自治区,0
301_008_620000,三级甲等_护理院_甘肃省,0
301_008_630000,三级甲等_护理院_青海省,0
301_008_650000,三级甲等_护理院_新疆维吾尔自治区,0
301_009_110000,三级甲等_疗养院_北京市,0
301_009_120000,三级甲等_疗养院_天津市,0
301_009_130000,三级甲等_疗养院_河北省,0
301_009_210000,三级甲等_疗养院_辽宁省,0
301_009_140000,三级甲等_疗养院_山西省,0
301_008_640000,三级甲等_护理院_宁夏回族自治区,0
301_009_220000,三级甲等_疗养院_吉林省,0
301_009_230000,三级甲等_疗养院_黑龙江省,0
301_009_310000,三级甲等_疗养院_上海市,0
301_009_320000,三级甲等_疗养院_江苏省,0
301_008_530000,三级甲等_护理院_云南省,0
301_009_330000,三级甲等_疗养院_浙江省,0
301_009_340000,三级甲等_疗养院_安徽省,0
301_009_360000,三级甲等_疗养院_江西省,0
301_009_410000,三级甲等_疗养院_河南省,0
301_009_430000,三级甲等_疗养院_湖南省,0
301_009_370000,三级甲等_疗养院_山东省,0
301_009_500000,三级甲等_疗养院_重庆市,0
301_009_450000,三级甲等_疗养院_广西壮族自治区,0
301_009_440000,三级甲等_疗养院_广东省,0
301_009_150000,三级甲等_疗养院_内蒙古自治区,0
301_009_520000,三级甲等_疗养院_贵州省,0
301_009_350000,三级甲等_疗养院_福建省,0
301_009_510000,三级甲等_疗养院_四川省,0
301_009_420000,三级甲等_疗养院_湖北省,0
301_009_620000,三级甲等_疗养院_甘肃省,0
301_009_610000,三级甲等_疗养院_陕西省,0
301_009_530000,三级甲等_疗养院_云南省,0
301_009_640000,三级甲等_疗养院_宁夏回族自治区,0
301_009_460000,三级甲等_疗养院_海南省,0
301_009_540000,三级甲等_疗养院_西藏自治区,0
301_009_650000,三级甲等_疗养院_新疆维吾尔自治区,0
301_009_630000,三级甲等_疗养院_青海省,0
301_010_150000,三级甲等_社区卫生服务中心_内蒙古自治区,0
301_010_140000,三级甲等_社区卫生服务中心_山西省,0
301_010_210000,三级甲等_社区卫生服务中心_辽宁省,0
301_010_130000,三级甲等_社区卫生服务中心_河北省,0
301_010_110000,三级甲等_社区卫生服务中心_北京市,0
301_010_310000,三级甲等_社区卫生服务中心_上海市,0
301_010_320000,三级甲等_社区卫生服务中心_江苏省,0
301_010_120000,三级甲等_社区卫生服务中心_天津市,0
301_010_230000,三级甲等_社区卫生服务中心_黑龙江省,0
301_010_340000,三级甲等_社区卫生服务中心_安徽省,0
301_010_220000,三级甲等_社区卫生服务中心_吉林省,0
301_010_360000,三级甲等_社区卫生服务中心_江西省,0
301_010_370000,三级甲等_社区卫生服务中心_山东省,0
301_010_430000,三级甲等_社区卫生服务中心_湖南省,0
301_010_410000,三级甲等_社区卫生服务中心_河南省,0
301_010_450000,三级甲等_社区卫生服务中心_广西壮族自治区,0
301_010_460000,三级甲等_社区卫生服务中心_海南省,0
301_010_350000,三级甲等_社区卫生服务中心_福建省,0
301_010_520000,三级甲等_社区卫生服务中心_贵州省,0
301_010_500000,三级甲等_社区卫生服务中心_重庆市,0
301_010_540000,三级甲等_社区卫生服务中心_西藏自治区,0
301_010_530000,三级甲等_社区卫生服务中心_云南省,0
301_010_510000,三级甲等_社区卫生服务中心_四川省,0
301_010_420000,三级甲等_社区卫生服务中心_湖北省,0
301_010_610000,三级甲等_社区卫生服务中心_陕西省,0
301_010_640000,三级甲等_社区卫生服务中心_宁夏回族自治区,0
301_010_630000,三级甲等_社区卫生服务中心_青海省,0
301_011_110000,三级甲等_乡镇卫生院_北京市,0
301_010_650000,三级甲等_社区卫生服务中心_新疆维吾尔自治区,0
301_010_330000,三级甲等_社区卫生服务中心_浙江省,0
301_011_130000,三级甲等_乡镇卫生院_河北省,0
301_010_620000,三级甲等_社区卫生服务中心_甘肃省,0
301_011_150000,三级甲等_乡镇卫生院_内蒙古自治区,0
301_011_140000,三级甲等_乡镇卫生院_山西省,0
301_011_210000,三级甲等_乡镇卫生院_辽宁省,0
301_010_440000,三级甲等_社区卫生服务中心_广东省,0
301_011_120000,三级甲等_乡镇卫生院_天津市,0
301_011_230000,三级甲等_乡镇卫生院_黑龙江省,0
301_011_320000,三级甲等_乡镇卫生院_江苏省,0
301_011_350000,三级甲等_乡镇卫生院_福建省,0
301_011_330000,三级甲等_乡镇卫生院_浙江省,0
301_011_220000,三级甲等_乡镇卫生院_吉林省,0
301_011_340000,三级甲等_乡镇卫生院_安徽省,0
301_011_360000,三级甲等_乡镇卫生院_江西省,0
301_011_440000,三级甲等_乡镇卫生院_广东省,0
301_011_430000,三级甲等_乡镇卫生院_湖南省,0
301_011_410000,三级甲等_乡镇卫生院_河南省,0
301_011_450000,三级甲等_乡镇卫生院_广西壮族自治区,0
301_011_420000,三级甲等_乡镇卫生院_湖北省,0
301_011_460000,三级甲等_乡镇卫生院_海南省,0
301_011_310000,三级甲等_乡镇卫生院_上海市,0
301_011_370000,三级甲等_乡镇卫生院_山东省,0
301_011_610000,三级甲等_乡镇卫生院_陕西省,0
301_011_530000,三级甲等_乡镇卫生院_云南省,0
301_011_540000,三级甲等_乡镇卫生院_西藏自治区,0
301_011_520000,三级甲等_乡镇卫生院_贵州省,0
301_011_620000,三级甲等_乡镇卫生院_甘肃省,0
301_011_630000,三级甲等_乡镇卫生院_青海省,0
301_011_640000,三级甲等_乡镇卫生院_宁夏回族自治区,0
301_011_510000,三级甲等_乡镇卫生院_四川省,0
301_012_140000,三级甲等_疾病预防控制中心_山西省,0
301_012_110000,三级甲等_疾病预防控制中心_北京市,0
301_012_120000,三级甲等_疾病预防控制中心_天津市,0
301_012_210000,三级甲等_疾病预防控制中心_辽宁省,0
301_011_500000,三级甲等_乡镇卫生院_重庆市,0
301_011_650000,三级甲等_乡镇卫生院_新疆维吾尔自治区,0
301_012_230000,三级甲等_疾病预防控制中心_黑龙江省,0
301_012_310000,三级甲等_疾病预防控制中心_上海市,0
301_012_220000,三级甲等_疾病预防控制中心_吉林省,0
301_012_320000,三级甲等_疾病预防控制中心_江苏省,0
301_012_330000,三级甲等_疾病预防控制中心_浙江省,0
301_012_340000,三级甲等_疾病预防控制中心_安徽省,0
301_012_350000,三级甲等_疾病预防控制中心_福建省,0
301_012_150000,三级甲等_疾病预防控制中心_内蒙古自治区,0
301_012_130000,三级甲等_疾病预防控制中心_河北省,0
301_012_370000,三级甲等_疾病预防控制中心_山东省,0
301_012_450000,三级甲等_疾病预防控制中心_广西壮族自治区,0
301_012_460000,三级甲等_疾病预防控制中心_海南省,0
301_012_430000,三级甲等_疾病预防控制中心_湖南省,0
301_012_360000,三级甲等_疾病预防控制中心_江西省,0
301_012_510000,三级甲等_疾病预防控制中心_四川省,0
301_012_520000,三级甲等_疾病预防控制中心_贵州省,0
301_012_530000,三级甲等_疾病预防控制中心_云南省,0
301_012_420000,三级甲等_疾病预防控制中心_湖北省,0
301_012_410000,三级甲等_疾病预防控制中心_河南省,0
301_012_620000,三级甲等_疾病预防控制中心_甘肃省,0
301_012_610000,三级甲等_疾病预防控制中心_陕西省,0
301_012_440000,三级甲等_疾病预防控制中心_广东省,0
301_013_110000,三级甲等_计划生育服务中心_北京市,0
301_012_540000,三级甲等_疾病预防控制中心_西藏自治区,0
301_012_630000,三级甲等_疾病预防控制中心_青海省,0
301_012_640000,三级甲等_疾病预防控制中心_宁夏回族自治区,0
301_012_650000,三级甲等_疾病预防控制中心_新疆维吾尔自治区,0
301_013_120000,三级甲等_计划生育服务中心_天津市,0
301_013_150000,三级甲等_计划生育服务中心_内蒙古自治区,0
301_013_210000,三级甲等_计划生育服务中心_辽宁省,0
301_012_500000,三级甲等_疾病预防控制中心_重庆市,0
301_013_230000,三级甲等_计划生育服务中心_黑龙江省,0
301_013_130000,三级甲等_计划生育服务中心_河北省,0
301_013_320000,三级甲等_计划生育服务中心_江苏省,0
301_013_220000,三级甲等_计划生育服务中心_吉林省,0
301_013_330000,三级甲等_计划生育服务中心_浙江省,0
301_013_310000,三级甲等_计划生育服务中心_上海市,0
301_013_370000,三级甲等_计划生育服务中心_山东省,0
301_013_350000,三级甲等_计划生育服务中心_福建省,0
301_013_410000,三级甲等_计划生育服务中心_河南省,0
301_013_450000,三级甲等_计划生育服务中心_广西壮族自治区,0
301_013_360000,三级甲等_计划生育服务中心_江西省,0
301_013_140000,三级甲等_计划生育服务中心_山西省,0
301_013_440000,三级甲等_计划生育服务中心_广东省,0
301_013_430000,三级甲等_计划生育服务中心_湖南省,0
301_013_340000,三级甲等_计划生育服务中心_安徽省,0
301_013_540000,三级甲等_计划生育服务中心_西藏自治区,0
301_013_420000,三级甲等_计划生育服务中心_湖北省,0
301_013_520000,三级甲等_计划生育服务中心_贵州省,0
301_013_610000,三级甲等_计划生育服务中心_陕西省,0
301_013_530000,三级甲等_计划生育服务中心_云南省,0
301_013_620000,三级甲等_计划生育服务中心_甘肃省,0
301_013_460000,三级甲等_计划生育服务中心_海南省,0
301_013_500000,三级甲等_计划生育服务中心_重庆市,0
301_013_650000,三级甲等_计划生育服务中心_新疆维吾尔自治区,0
301_013_640000,三级甲等_计划生育服务中心_宁夏回族自治区,0
301_014_110000,三级甲等_门诊部_北京市,0
301_013_510000,三级甲等_计划生育服务中心_四川省,0
301_014_140000,三级甲等_门诊部_山西省,0
301_014_150000,三级甲等_门诊部_内蒙古自治区,0
301_014_130000,三级甲等_门诊部_河北省,0
301_014_120000,三级甲等_门诊部_天津市,0
301_014_210000,三级甲等_门诊部_辽宁省,0
301_014_230000,三级甲等_门诊部_黑龙江省,0
301_014_220000,三级甲等_门诊部_吉林省,0
301_014_330000,三级甲等_门诊部_浙江省,0
301_014_310000,三级甲等_门诊部_上海市,0
301_014_350000,三级甲等_门诊部_福建省,0
301_014_340000,三级甲等_门诊部_安徽省,0
301_014_360000,三级甲等_门诊部_江西省,0
301_013_630000,三级甲等_计划生育服务中心_青海省,0
301_014_440000,三级甲等_门诊部_广东省,0
301_014_410000,三级甲等_门诊部_河南省,0
301_014_430000,三级甲等_门诊部_湖南省,0
301_014_460000,三级甲等_门诊部_海南省,0
301_014_500000,三级甲等_门诊部_重庆市,0
301_014_370000,三级甲等_门诊部_山东省,0
301_014_510000,三级甲等_门诊部_四川省,0
301_014_520000,三级甲等_门诊部_贵州省,0
301_014_320000,三级甲等_门诊部_江苏省,0
301_014_450000,三级甲等_门诊部_广西壮族自治区,0
301_014_420000,三级甲等_门诊部_湖北省,0
301_014_540000,三级甲等_门诊部_西藏自治区,0
301_014_620000,三级甲等_门诊部_甘肃省,0
301_014_530000,三级甲等_门诊部_云南省,0
301_014_640000,三级甲等_门诊部_宁夏回族自治区,0
301_014_650000,三级甲等_门诊部_新疆维吾尔自治区,0
301_015_120000,三级甲等_诊所_天津市,0
301_015_110000,三级甲等_诊所_北京市,0
301_015_140000,三级甲等_诊所_山西省,0
301_015_150000,三级甲等_诊所_内蒙古自治区,0
301_015_230000,三级甲等_诊所_黑龙江省,0
301_015_220000,三级甲等_诊所_吉林省,0
301_015_210000,三级甲等_诊所_辽宁省,0
301_014_610000,三级甲等_门诊部_陕西省,0
301_015_330000,三级甲等_诊所_浙江省,0
301_015_340000,三级甲等_诊所_安徽省,0
301_015_130000,三级甲等_诊所_河北省,0
301_015_370000,三级甲等_诊所_山东省,0
301_015_360000,三级甲等_诊所_江西省,0
301_015_310000,三级甲等_诊所_上海市,0
301_015_320000,三级甲等_诊所_江苏省,0
301_015_420000,三级甲等_诊所_湖北省,0
301_015_410000,三级甲等_诊所_河南省,0
301_015_450000,三级甲等_诊所_广西壮族自治区,0
301_015_350000,三级甲等_诊所_福建省,0
301_014_630000,三级甲等_门诊部_青海省,0
301_015_500000,三级甲等_诊所_重庆市,0
301_015_460000,三级甲等_诊所_海南省,0
301_015_510000,三级甲等_诊所_四川省,0
301_015_520000,三级甲等_诊所_贵州省,0
301_015_440000,三级甲等_诊所_广东省,0
301_015_540000,三级甲等_诊所_西藏自治区,0
301_015_630000,三级甲等_诊所_青海省,0
301_015_650000,三级甲等_诊所_新疆维吾尔自治区,0
301_015_640000,三级甲等_诊所_宁夏回族自治区,0
301_015_530000,三级甲等_诊所_云南省,0
301_015_620000,三级甲等_诊所_甘肃省,0
301_015_610000,三级甲等_诊所_陕西省,0
301_016_110000,三级甲等_村卫生室_北京市,0
301_016_130000,三级甲等_村卫生室_河北省,0
301_016_120000,三级甲等_村卫生室_天津市,0
301_016_150000,三级甲等_村卫生室_内蒙古自治区,0
301_016_220000,三级甲等_村卫生室_吉林省,0
301_016_210000,三级甲等_村卫生室_辽宁省,0
301_016_310000,三级甲等_村卫生室_上海市,0
301_016_330000,三级甲等_村卫生室_浙江省,0
301_016_320000,三级甲等_村卫生室_江苏省,0
301_015_430000,三级甲等_诊所_湖南省,0
301_016_140000,三级甲等_村卫生室_山西省,0
301_016_340000,三级甲等_村卫生室_安徽省,0
301_016_360000,三级甲等_村卫生室_江西省,0
301_016_370000,三级甲等_村卫生室_山东省,0
301_016_230000,三级甲等_村卫生室_黑龙江省,0
301_016_410000,三级甲等_村卫生室_河南省,0
301_016_420000,三级甲等_村卫生室_湖北省,0
301_016_500000,三级甲等_村卫生室_重庆市,0
301_016_520000,三级甲等_村卫生室_贵州省,0
301_016_450000,三级甲等_村卫生室_广西壮族自治区,0
301_016_510000,三级甲等_村卫生室_四川省,0
301_016_460000,三级甲等_村卫生室_海南省,0
301_016_610000,三级甲等_村卫生室_陕西省,0
301_016_430000,三级甲等_村卫生室_湖南省,0
301_016_350000,三级甲等_村卫生室_福建省,0
301_016_440000,三级甲等_村卫生室_广东省,0
301_016_530000,三级甲等_村卫生室_云南省,0
301_016_630000,三级甲等_村卫生室_青海省,0
301_016_640000,三级甲等_村卫生室_宁夏回族自治区,0
301_016_540000,三级甲等_村卫生室_西藏自治区,0
301_017_130000,三级甲等_卫生监督所(中心)_河北省,0
301_017_150000,三级甲等_卫生监督所(中心)_内蒙古自治区,0
301_017_110000,三级甲等_卫生监督所(中心)_北京市,0
301_017_140000,三级甲等_卫生监督所(中心)_山西省,0
301_016_620000,三级甲等_村卫生室_甘肃省,0
301_016_650000,三级甲等_村卫生室_新疆维吾尔自治区,0
301_017_210000,三级甲等_卫生监督所(中心)_辽宁省,0
301_017_120000,三级甲等_卫生监督所(中心)_天津市,0
301_017_230000,三级甲等_卫生监督所(中心)_黑龙江省,0
301_017_220000,三级甲等_卫生监督所(中心)_吉林省,0
301_017_330000,三级甲等_卫生监督所(中心)_浙江省,0
301_017_360000,三级甲等_卫生监督所(中心)_江西省,0
301_017_320000,三级甲等_卫生监督所(中心)_江苏省,0
301_017_350000,三级甲等_卫生监督所(中心)_福建省,0
